id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_category
260,754,not,0.5,Yes,7,1,59,0.7,178,7,10,1914,1928,1027,6,3,5,yes,0,no,0
261,728,no,2.7,YES,0,0,25,0.2,88,4,1,526,1529,2039,5,1,12,yes,1,yes,0
262,1431,Yes,0.5,no,0,1,56,0.6,191,1,1,156,952,461,7,3,8,yes,0,No,0
263,767,no,1.5,not,4,0,28,0.7,175,4,10,344,1517,527,10,0,15,NO,1,no,0
264,1722,no,2.6,no,8,0,18,0.8,177,2,16,865,1741,3271,14,0,15,yes,0,Has,1
265,1992,Has,1.6,no,5,1,57,1,100,2,15,1552,1596,606,9,3,4,Yes,1,Yes,0
266,1876,no,0.5,no,10,1,40,0.3,86,6,14,546,1564,2513,10,8,16,Has,1,no,1
267,1054,no,1.1,has,10,1,38,0.4,136,6,12,1097,1222,1675,18,4,14,yes,1,YES,0
268,1283,yes,1.6,YES,4,0,47,0.9,93,5,5,372,692,2698,9,6,17,yes,1,No,0
269,1281,Yes,2.3,yes,0,0,28,0.3,148,1,6,1285,1617,1129,12,1,6,no,1,No,0
270,1066,no,0.6,NO,2,1,7,0.9,114,7,18,1242,1571,468,19,13,6,Yes,1,No,0
271,730,no,2.1,yes,0,1,4,0.1,89,8,2,302,1247,1210,19,15,4,yes,1,Yes,0
272,1053,yes,0.8,Yes,7,1,45,0.3,103,1,12,594,1767,3086,17,6,5,yes,1,yes,1
273,1611,yes,0.5,has,11,0,3,0.6,98,3,14,303,714,1595,8,4,9,yes,0,yes,0
274,793,no,1,yes,5,1,30,0.9,133,2,15,1858,1935,2332,17,13,14,yes,1,Has,0
275,1220,no,2.9,no,3,0,62,0.5,125,4,8,403,1933,2589,19,11,15,yes,1,yes,0
276,1662,no,0.5,NO,0,1,61,0.8,126,4,13,32,1509,3760,9,5,13,yes,1,Yes,1
277,1281,has,2.8,yes,3,1,8,0.3,144,4,19,590,954,1851,8,2,9,Yes,1,No,0
278,538,No,0.8,no,12,1,2,0.8,177,7,13,235,662,417,8,4,9,has,0,yes,0
279,823,Yes,0.5,No,0,0,39,0.4,187,8,4,630,888,294,13,9,11,Not,0,yes,0
280,1733,yes,2.8,No,3,1,36,1,119,6,20,357,527,3576,17,16,9,yes,0,no,1
281,1429,no,1.5,yes,0,1,40,0.9,100,3,14,246,820,3945,11,7,18,Yes,0,yes,1
282,1839,YES,1.2,no,9,1,54,0.5,200,7,11,475,1493,927,19,10,18,yes,0,yes,0
283,659,No,2.7,no,6,1,6,0.5,110,3,7,1054,1929,2044,15,5,2,yes,0,Yes,0
284,1953,yes,2.1,yes,7,0,56,0.1,158,8,9,555,764,2334,11,5,4,Yes,0,NO,0
285,1172,no,1.9,no,0,1,27,0.7,164,1,3,607,1092,1477,12,0,6,yes,0,NO,0
286,612,Yes,1.9,yes,6,0,16,0.3,102,7,7,1360,1891,3161,8,4,3,no,0,no,1
287,1563,no,2.4,no,0,1,24,0.2,170,8,0,142,1699,3660,7,5,5,yes,1,No,1
288,1191,No,1.3,yes,16,1,26,0.8,84,1,20,681,683,1604,14,3,9,yes,0,yes,0
289,615,yes,0.5,yes,0,0,42,0.6,163,6,4,104,1664,2211,7,4,18,NO,0,Has,0
290,1893,yes,2.1,yes,8,0,63,0.2,134,2,11,637,763,3822,14,3,18,No,1,Yes,1
291,1563,no,1.7,Yes,10,0,16,0.1,151,7,13,410,572,3922,11,1,8,no,0,YES,1
292,1995,Yes,1.9,no,6,0,9,0.8,139,6,18,1830,1963,1203,14,12,18,yes,1,yes,0
293,1517,no,0.5,no,6,1,48,0.6,143,5,14,802,1489,2822,15,5,11,yes,1,yes,1
294,832,no,1.6,yes,1,1,34,0.3,108,5,5,311,1294,447,15,13,12,yes,1,No,0
295,1162,no,2,no,0,1,56,0.7,114,7,1,56,997,1652,5,0,20,yes,0,No,0
296,1595,yes,2.6,no,7,0,12,0.3,121,8,19,344,655,3608,15,1,16,Not,1,no,1
297,1329,Yes,1,No,1,0,52,0.9,181,6,2,1053,1458,1228,8,6,6,Has,0,Yes,0
298,928,yes,0.5,yes,11,0,56,0.7,80,8,13,221,1243,666,19,10,5,no,1,Not,0
299,1656,YES,0.5,YES,8,1,38,0.1,105,7,17,506,519,1499,12,8,19,Yes,0,Yes,0
300,1937,Has,1.7,no,17,0,58,0.6,189,1,19,1728,1767,3321,5,4,14,yes,1,Not,1
301,977,YES,1.1,yes,2,0,57,0.6,181,6,7,63,566,1206,7,1,8,no,1,YES,0
302,768,yes,0.9,Not,16,1,56,0.1,113,1,20,418,515,952,19,3,16,YES,0,Yes,0
303,1464,yes,0.5,YES,11,0,12,0.9,117,2,14,854,1168,3927,5,3,15,NO,1,yes,1
304,1177,No,0.9,no,1,1,29,0.4,191,2,8,178,882,311,18,5,19,yes,0,NO,0
305,1348,no,2,no,18,0,52,0.3,98,3,20,1869,1942,955,18,11,7,yes,1,YES,0
306,1956,no,2.2,NO,0,1,37,0.5,87,3,2,185,776,1109,13,1,19,yes,1,No,0
307,1751,no,0.5,Has,6,0,8,0.6,178,6,20,170,564,2969,8,6,17,no,0,yes,0
308,1530,no,2,NO,11,0,42,0.8,177,6,13,454,1975,725,11,10,19,no,0,yes,0
309,1997,Yes,1.8,has,1,0,40,0.5,185,4,8,866,1212,1655,7,6,15,yes,0,No,0
310,1414,YES,1.5,YES,5,0,44,0.5,180,2,6,44,1118,3490,16,12,13,NO,1,no,1
311,1707,Not,1.4,no,0,0,41,0.8,80,7,2,1331,1388,1774,12,0,10,no,0,no,0
312,894,no,0.5,YES,1,1,50,0.5,199,3,14,1285,1462,3615,13,0,6,yes,0,yes,1
313,645,no,1.2,no,6,1,41,0.7,184,8,17,741,1130,714,18,2,13,yes,1,No,0
314,1163,no,2.8,yes,0,0,49,0.6,155,2,0,520,754,2768,19,2,12,Not,0,Has,0
315,1126,no,0.7,no,3,0,49,0.9,165,8,17,114,1726,3739,14,1,13,yes,0,Not,1
316,1648,no,0.7,no,6,1,64,0.8,170,4,9,1153,1876,610,8,1,6,yes,1,no,0
317,1170,has,0.9,no,6,1,14,0.4,199,2,13,474,709,715,18,5,20,yes,0,yes,0
318,508,no,0.8,no,7,1,42,0.3,94,1,8,39,557,663,13,12,7,yes,0,no,0
319,1097,no,2.1,has,6,0,64,0.2,161,3,8,419,1914,1725,14,5,9,yes,0,yes,0
320,728,No,1.7,Yes,0,1,5,0.6,101,2,20,584,775,834,16,0,5,yes,1,no,0
321,1980,No,0.5,Has,2,1,29,0.8,177,1,13,312,1910,3865,12,10,18,Yes,0,not,1
322,1504,no,2.3,yes,1,0,64,0.9,182,1,2,19,1923,3059,6,5,10,no,1,no,1
323,1379,yes,2.1,Has,14,1,63,1,83,1,17,207,1370,651,9,6,7,YES,1,no,0
324,1698,No,2.1,no,5,1,18,0.9,160,6,20,363,994,796,13,3,14,Yes,0,has,0
325,920,no,2.1,yes,5,0,25,0.4,115,7,14,209,1078,785,10,7,5,no,1,yes,0
326,1144,Yes,1.5,Yes,0,0,21,0.4,189,1,11,159,724,3252,16,0,8,no,0,no,0
327,1995,yes,0.5,no,6,0,26,0.2,129,1,15,649,1104,1322,15,11,7,No,1,yes,0
328,1430,no,0.5,yes,1,0,27,0.5,183,1,16,1132,1182,2832,7,1,15,No,1,yes,0
329,972,yes,0.5,yes,5,0,13,0.4,193,5,8,1392,1795,1615,11,6,13,no,1,no,0
330,662,no,0.5,No,5,0,20,0.8,138,1,10,1001,1224,2125,17,15,15,No,1,YES,0
331,1867,no,2.3,No,0,1,9,0.1,191,6,3,712,1442,990,6,1,2,yes,0,YES,0
332,1730,No,2,Has,0,1,20,0.1,143,4,10,418,1023,1595,14,0,12,Yes,1,no,0
333,1723,yes,1,NO,1,1,7,0.6,126,3,17,384,1361,1213,5,0,16,yes,1,yes,0
334,1882,Has,1.3,yes,8,0,47,0.2,140,2,13,119,652,2500,17,1,11,no,0,yes,0
335,803,no,0.8,yes,0,0,18,0.3,106,4,1,627,935,2801,18,15,12,NO,1,no,0
336,580,YES,1.2,yes,0,0,47,0.9,91,3,1,1086,1345,3451,15,1,11,yes,1,no,1
337,668,no,2.3,no,2,1,48,0.3,114,1,19,195,1292,1201,14,12,4,Yes,1,no,0
338,1391,no,1.4,no,2,1,36,0.8,182,1,6,14,1256,3139,14,7,14,Yes,1,no,0
339,1560,no,2.3,NO,0,1,22,0.8,169,7,1,745,1364,1938,15,11,16,Yes,1,yes,0
340,821,no,1.8,yes,5,0,54,0.1,109,3,9,253,1786,3185,8,4,15,Yes,0,no,0
341,811,Has,2.4,yes,5,1,2,0.3,106,6,13,333,1429,2111,18,7,2,Has,0,yes,0
342,1989,Yes,2.9,Has,8,0,17,0.1,193,8,15,629,682,2369,7,0,18,yes,1,no,0
343,1034,Yes,2.7,yes,6,0,37,0.7,120,7,20,707,1199,3625,17,1,12,no,1,yes,1
344,618,No,2.1,NO,2,0,6,0.3,86,1,4,1314,1688,1051,13,10,15,no,0,yes,0
345,654,yes,1.3,no,0,1,52,0.7,196,4,4,1715,1898,1036,17,4,13,yes,0,no,0
346,576,yes,2.8,no,2,1,10,0.2,184,5,7,513,1438,2938,6,0,5,yes,1,YES,0
347,667,has,0.6,No,6,1,3,0.7,185,6,13,13,1463,2855,5,0,19,Yes,0,yes,0
348,869,Yes,1,no,7,1,57,0.6,118,1,15,1243,1584,2727,13,3,8,YES,0,no,0
349,635,has,0.5,YES,2,0,42,0.4,149,3,4,300,1059,2973,12,5,18,no,0,yes,0
350,609,yes,3,no,15,1,44,0.3,117,1,16,58,1253,2581,15,11,15,Yes,0,Yes,0
351,1557,NO,2.8,yes,16,0,2,0.1,123,5,20,1107,1442,2690,18,16,9,No,0,yes,1
352,1604,yes,1.7,no,2,0,33,1,191,8,5,134,939,916,13,10,12,no,1,yes,0
353,1182,no,0.5,NO,7,1,8,0.5,138,8,16,275,986,2563,19,17,19,yes,0,NO,0
354,848,Yes,2.1,yes,10,1,19,0.8,148,7,18,176,1029,3359,10,0,14,Yes,0,no,0
355,1610,YES,2.9,no,7,1,64,0.9,181,4,12,1236,1280,941,8,4,9,yes,1,no,0
356,1828,yes,2.1,yes,0,0,17,0.9,199,1,1,336,898,2280,17,14,4,no,0,no,0
357,880,no,2,yes,1,1,50,0.5,194,7,3,1116,1381,827,15,9,6,yes,0,yes,0
358,1394,Yes,0.9,yes,10,1,62,0.3,175,5,13,1010,1565,473,11,1,20,YES,1,Not,0
359,1960,yes,2.3,yes,1,1,61,0.3,86,7,3,205,1299,3865,10,7,11,YES,0,no,1
360,809,no,0.8,NO,10,0,21,0.9,91,7,19,1453,1726,1274,18,7,3,no,0,no,0
361,899,no,0.5,yes,13,1,57,0.9,172,2,18,788,1331,364,11,1,7,yes,1,no,0
362,1976,yes,0.7,Has,4,0,32,0.8,171,2,7,1301,1922,3699,17,11,13,no,1,Yes,1
363,879,no,1.5,yes,0,1,21,0.8,187,4,2,463,1038,2927,14,13,11,Yes,0,yes,0
364,916,yes,2.6,no,0,0,36,0.3,195,4,12,188,992,1470,13,0,14,No,1,no,0
365,763,no,1.7,yes,8,1,2,0.5,92,8,14,1028,1186,1050,6,4,8,Has,1,No,0
366,508,no,1.6,has,0,0,9,0.4,162,6,2,1419,1920,2616,18,8,10,yes,1,Has,0
367,825,NO,2.9,Yes,0,0,34,0.8,99,8,17,1471,1866,2915,8,2,10,yes,1,no,1
368,1864,NO,1.4,Not,8,1,46,0.7,178,1,12,168,981,2686,11,7,18,yes,1,Yes,0
369,1725,NO,0.5,YES,8,1,52,1,185,6,12,1125,1195,1243,19,18,5,Yes,1,YES,0
370,1108,yes,2.9,no,10,0,52,0.1,183,2,12,130,1706,3264,16,1,13,No,1,yes,1
371,1011,NO,1.1,no,4,1,36,0.2,131,7,18,481,749,2261,7,6,16,yes,1,yes,0
372,1703,Yes,1.5,yes,17,1,55,0.7,138,5,19,1411,1711,2993,5,1,20,yes,1,YES,1
373,1067,yes,1.7,yes,0,0,58,0.5,135,7,0,79,681,706,12,9,16,no,1,no,0
374,1334,Yes,2.4,NO,5,1,42,0.6,115,5,14,1187,1974,2542,10,1,8,yes,0,Not,1
375,775,yes,2.6,No,0,0,30,0.4,189,7,10,561,1510,2523,17,16,9,Yes,0,yes,0
376,1899,yes,0.6,no,0,0,26,0.1,151,2,0,96,814,336,13,11,4,Has,0,yes,0
377,930,Has,1.3,Yes,1,1,14,0.4,97,6,10,77,1025,2457,11,7,17,yes,1,no,0
378,1058,no,1.5,no,2,0,19,0.4,166,4,14,493,1247,418,9,7,16,no,0,yes,0
379,1187,yes,2.2,NO,0,1,46,0.4,145,2,9,1173,1814,3917,13,11,8,yes,0,Has,1
380,1874,yes,2.7,yes,10,0,8,0.9,166,7,13,964,1233,1246,8,1,2,no,0,yes,0
381,1482,not,0.5,no,2,0,48,0.2,142,7,10,634,642,2971,12,8,12,YES,1,Has,0
382,1809,Yes,1.7,no,3,1,59,0.1,174,3,4,639,721,2324,10,6,16,YES,0,yes,0
383,864,yes,3,yes,0,1,54,0.7,187,2,1,127,1670,3121,18,2,16,has,1,yes,0
384,625,yes,1.9,NO,12,1,33,0.2,191,1,20,431,550,3801,10,6,2,yes,0,no,0
385,1880,yes,1.8,no,4,1,18,0.7,138,3,5,71,699,3333,17,15,7,yes,0,no,1
386,1138,NO,1.4,no,12,1,44,0.2,187,8,17,111,1138,3475,19,3,3,Yes,0,No,1
387,560,NO,0.5,no,14,0,23,1,146,8,15,356,1903,2360,17,16,18,no,1,yes,0
388,1117,no,0.5,NO,1,0,12,0.6,144,7,8,798,817,2895,7,6,16,has,1,not,0
389,1712,NO,1.4,no,1,0,63,0.5,137,7,12,747,1126,3652,16,1,19,yes,0,no,1
390,1836,yes,1.7,yes,3,0,26,0.1,134,6,16,408,1139,3097,5,0,18,NO,1,no,1
391,1036,yes,2.4,No,0,0,39,0.2,119,7,3,373,926,2101,10,7,2,NO,1,no,0
392,1860,yes,2.3,Not,15,0,23,0.6,162,4,16,1362,1506,3918,9,2,8,no,1,no,1
393,1375,yes,1.1,not,3,1,9,0.9,145,7,19,475,726,3869,19,18,10,yes,1,yes,1
394,1945,NO,1.6,yes,0,1,57,0.3,195,4,1,743,1753,732,14,1,14,yes,1,no,0
395,1896,no,0.5,yes,8,1,7,0.4,141,2,13,447,794,3684,9,7,18,yes,0,no,1
396,788,no,2.5,yes,4,1,57,0.9,91,8,12,42,1161,3969,12,8,6,Has,1,yes,1
397,880,Yes,1.7,yes,0,0,33,0.7,173,2,2,30,1350,1414,12,1,7,Yes,1,no,0
398,1323,yes,2.5,Has,10,1,28,0.2,131,4,12,162,619,1892,10,0,15,yes,1,Yes,0
399,1868,no,2,yes,0,1,42,0.2,169,1,4,347,660,3131,8,3,7,YES,1,yes,1
400,1266,no,1.9,yes,0,1,7,0.2,184,3,12,346,1468,2532,10,5,4,yes,1,yes,0
401,1042,no,2.7,Has,16,1,50,0.8,93,7,18,727,1705,3215,18,0,20,yes,1,Yes,1
402,1479,no,0.5,no,8,0,19,0.6,156,3,10,180,1476,3323,13,12,6,yes,0,yes,1
403,1476,Yes,1.2,Yes,0,1,55,0.1,171,4,5,1641,1666,1529,13,8,3,yes,0,yes,0
404,1552,Yes,2.2,no,6,1,13,0.2,123,6,9,269,1026,2403,9,2,9,yes,1,has,0
405,1454,yes,0.5,Yes,1,0,34,0.7,83,4,3,250,1033,3419,7,5,5,yes,1,no,1
406,1007,no,2,not,0,0,45,0.1,95,5,2,1186,1529,3648,9,0,16,no,0,no,1
407,652,yes,2.4,yes,9,1,17,0.7,173,5,11,77,559,1974,12,10,12,yes,0,no,0
408,1504,no,1.5,no,12,1,34,0.7,142,8,15,507,973,2806,7,2,7,yes,0,Yes,0
409,1726,yes,0.9,YES,2,0,51,0.6,193,4,3,379,1223,2239,13,9,13,yes,0,yes,0
410,1029,Yes,1.9,yes,5,1,5,0.2,171,5,8,264,956,582,15,7,4,yes,1,yes,0
411,1582,not,2.8,No,2,1,44,0.5,112,6,13,1486,1797,3890,17,10,10,yes,1,yes,1
412,1478,yes,0.8,yes,12,0,48,0.7,99,5,17,694,882,1141,5,2,6,NO,0,yes,0
413,1178,yes,1.3,No,0,0,49,0.6,101,5,0,579,596,2511,6,3,17,NO,0,no,0
414,707,no,2.1,YES,2,0,25,0.8,131,3,17,495,574,3838,9,2,7,YES,0,Yes,1
415,755,yes,2.8,no,5,1,51,0.3,186,4,12,315,990,2734,10,1,16,yes,0,yes,0
416,912,yes,2,no,1,0,54,0.3,161,8,5,329,1053,2330,19,5,20,No,1,no,0
417,651,Has,0.8,yes,2,1,63,0.2,176,5,4,548,858,2244,14,9,19,yes,1,no,0
418,1483,NO,2.1,no,1,1,54,0.2,176,7,2,531,758,1851,15,13,2,yes,1,no,0
419,914,yes,0.9,Not,2,0,4,0.8,100,2,12,191,1495,808,11,7,5,yes,1,no,0
420,1456,yes,0.5,yes,7,0,7,0.4,105,5,12,823,1104,1587,6,5,20,Has,0,yes,0
421,1178,no,2.2,yes,6,0,57,0.3,84,3,17,96,1352,2492,16,14,10,yes,1,no,0
422,1503,yes,0.7,No,10,1,43,0.2,166,4,14,841,1304,2122,15,1,2,yes,0,no,0
423,1681,yes,2.5,no,2,0,11,0.4,158,2,13,195,1205,1122,12,6,16,No,1,YES,0
424,715,no,2.3,Has,4,0,48,0.1,160,4,6,21,562,3709,14,2,10,No,0,no,0
425,1876,no,2.8,yes,3,1,56,0.4,182,3,4,235,585,3021,12,2,18,Yes,0,not,0
426,1190,yes,2.2,Has,9,0,47,0.3,186,6,10,1417,1441,624,9,3,19,Has,1,yes,0
427,1755,yes,1.3,NO,0,1,24,0.1,134,7,2,286,1075,3937,8,1,7,Has,0,YES,1
428,1197,No,1.3,no,3,1,20,0.5,149,6,7,649,1629,1797,19,5,4,yes,1,yes,0
429,1048,YES,0.9,no,10,1,28,0.8,194,2,19,966,1975,1458,5,1,15,yes,0,Yes,0
430,1887,yes,3,yes,6,1,17,0.2,126,8,7,1172,1798,3348,18,16,16,yes,1,no,1
431,1772,YES,0.5,yes,3,0,64,0.7,116,8,15,270,545,1834,5,2,20,no,1,Yes,0
432,1421,no,2.8,No,0,1,57,0.4,165,1,2,781,1657,2775,13,8,14,yes,0,yes,1
433,1464,no,0.5,yes,0,1,17,0.7,153,6,8,418,1341,1277,13,6,19,yes,0,no,0
434,728,NO,2.3,yes,4,0,23,0.8,111,4,5,126,817,457,17,10,16,YES,1,Yes,0
435,954,Yes,0.5,no,0,0,50,0.3,134,2,11,228,1058,438,17,0,2,yes,0,NO,0
436,685,no,0.5,yes,8,1,13,0.8,82,7,15,1091,1203,3210,15,7,2,yes,1,Yes,1
437,1472,no,2.8,Yes,1,0,36,0.5,130,6,10,1452,1744,985,12,11,7,yes,1,NO,0
438,853,Yes,2,no,10,1,3,0.6,200,2,16,674,740,3701,15,8,8,Has,1,no,1
439,1469,no,2.1,No,0,0,8,0.7,123,7,0,398,1133,1052,8,1,3,no,1,NO,0
440,1310,yes,2.3,yes,6,0,57,0.9,135,8,9,449,889,1175,16,0,8,no,0,no,0
441,1654,no,1.8,NO,1,0,11,0.3,146,7,2,1184,1719,1070,8,1,14,yes,1,yes,0
442,902,Yes,0.7,no,3,0,3,0.3,134,7,9,675,1285,3411,12,11,15,no,0,yes,1
443,1448,no,1.4,Yes,13,0,26,1,156,3,16,1792,1850,1175,12,9,6,no,1,No,0
444,1631,no,0.9,has,2,1,3,0.1,198,7,12,177,1905,301,13,5,13,yes,0,no,0
445,1608,no,1.8,Has,7,0,28,0.4,183,2,13,1013,1158,489,15,11,8,No,0,Has,0
446,1991,yes,2.7,No,5,1,64,0.9,145,2,13,1058,1325,1733,5,3,8,Yes,1,NO,0
447,1349,no,2,yes,15,0,62,0.3,114,5,16,592,772,2756,11,3,4,yes,0,No,0
448,1589,no,2.5,not,5,1,51,0.8,195,1,18,810,1743,2612,8,2,16,yes,0,no,0
449,1844,yes,2.3,yes,1,0,51,0.7,158,8,3,533,882,1724,5,1,14,no,1,yes,0
450,712,Yes,0.5,yes,3,1,35,0.2,84,2,10,558,1208,2190,16,12,4,Yes,1,yes,0
451,972,yes,1.7,no,0,1,54,0.7,107,3,4,681,1050,1900,16,8,19,Yes,0,yes,0
452,1406,Not,0.5,YES,2,1,34,0.8,98,3,5,1017,1366,3915,9,8,2,yes,0,yes,1
453,1289,no,0.9,NO,10,1,25,1,178,6,12,765,899,1043,6,2,11,Has,1,not,0
454,932,No,1.3,no,1,0,64,0.7,154,7,2,1176,1224,3817,8,7,9,Has,1,yes,1
455,1747,yes,0.9,No,6,1,48,0.7,94,3,19,947,1131,2362,17,2,19,yes,1,no,0
456,1172,yes,2.1,yes,4,0,41,0.1,95,3,7,1314,1884,1107,7,3,5,No,0,no,0
457,1128,has,1.4,No,12,0,53,0.4,84,5,14,609,1370,2982,14,9,12,yes,1,No,1
458,664,No,1.2,yes,0,0,28,0.9,106,5,5,754,1497,2042,17,15,19,yes,1,not,0
459,513,yes,0.5,no,6,1,44,0.1,186,4,12,619,867,1343,5,1,9,has,1,Not,0
460,1742,NO,2.3,yes,9,1,43,0.4,170,7,12,453,681,2610,12,3,10,yes,0,yes,0
461,1512,yes,1.7,no,12,0,6,0.7,162,7,17,205,884,2335,15,7,7,yes,1,yes,0
462,1986,No,0.5,yes,3,1,51,0.1,165,8,20,282,1358,1614,17,12,3,YES,1,Yes,0
463,965,Yes,1.5,yes,5,0,13,1,109,2,14,130,998,1138,9,8,10,No,1,no,0
464,1067,Yes,2.4,yes,3,1,40,0.6,122,8,15,494,1989,604,16,14,11,Yes,0,no,0
465,1583,yes,1.6,no,5,1,42,0.8,118,3,10,275,862,3652,14,10,9,Yes,0,no,1
466,1653,not,0.5,yes,2,1,37,0.9,176,4,6,447,1785,3955,19,4,18,yes,1,yes,1
467,1433,no,1.6,Not,7,0,4,0.7,133,8,11,281,799,258,11,9,4,yes,1,yes,0
468,765,No,2.9,no,0,1,18,0.1,153,7,0,6,793,1066,11,1,16,Yes,1,Not,0
469,1845,has,0.5,yes,10,0,61,0.3,96,1,12,292,695,1731,9,5,6,not,0,no,0
470,752,No,0.5,yes,1,0,48,0.7,87,7,13,164,728,3860,7,5,16,no,0,no,1
471,1948,no,2.8,yes,8,0,16,0.1,100,5,10,631,1940,3630,9,7,17,no,1,not,1
472,1077,no,2.5,has,0,1,45,1,174,3,4,897,1304,1965,6,2,6,yes,1,no,0
473,932,yes,0.5,no,1,1,60,0.7,104,4,2,268,1078,1459,6,1,19,yes,1,no,0
474,1968,No,0.9,no,0,0,22,0.8,115,3,7,861,1259,2323,9,8,7,no,0,yes,0
475,1122,no,1.2,NO,9,0,2,0.6,120,4,14,331,790,3291,11,2,13,yes,1,Yes,0
476,1588,no,0.5,no,0,1,61,0.8,159,1,13,1064,1594,3272,18,0,17,yes,1,No,1
477,601,not,2.1,no,4,0,26,0.3,101,4,18,509,548,918,9,1,12,no,0,no,0
478,1615,no,0.5,no,14,0,15,0.1,132,4,16,622,1256,3488,16,2,3,Not,0,Yes,1
479,1589,has,2.2,yes,2,0,58,0.1,128,4,4,957,1911,3961,16,14,14,YES,0,yes,1
480,1417,yes,2.7,no,2,1,56,0.9,114,6,4,494,1649,590,11,3,6,yes,0,Has,0
481,1697,yes,0.7,No,1,1,34,0.1,95,1,3,236,1264,3701,15,9,8,YES,1,no,1
482,1330,YES,1.3,yes,14,0,3,0.3,83,5,17,980,1262,463,14,6,11,no,0,yes,0
483,1476,no,0.5,No,0,1,43,0.7,148,2,2,1789,1972,3644,15,10,6,yes,0,YES,1
484,1579,yes,1.5,no,0,0,27,0.2,142,6,18,831,1484,1713,16,4,10,yes,1,yes,0
485,1277,no,3,Not,0,1,41,0.3,200,4,3,902,1090,429,9,4,14,yes,1,YES,0
486,1089,yes,0.9,yes,12,1,2,0.7,145,5,15,636,1259,2765,13,12,10,yes,0,yes,0
487,1663,yes,2.5,Yes,13,1,27,0.3,169,4,14,831,1439,2084,7,1,18,Yes,0,no,0
488,1949,no,1.8,no,0,0,20,0.8,186,5,4,518,592,1125,17,10,9,NO,0,no,0
489,1138,no,1.1,no,5,1,48,0.6,109,3,14,233,1777,2048,6,0,18,yes,1,yes,0
490,685,not,2.7,no,7,0,17,0.3,174,6,20,725,870,1223,8,0,18,Yes,0,yes,0
491,1889,no,2.8,no,5,1,31,1,132,1,10,170,1106,3672,5,1,3,Has,1,yes,1
492,857,has,2,yes,3,0,17,0.2,195,7,9,157,948,3100,17,5,13,Has,1,No,0
493,1902,No,2.8,yes,6,0,50,0.8,124,8,9,1142,1393,343,11,8,18,no,1,No,0
494,1225,Yes,2.4,no,0,0,15,0.1,155,5,0,840,982,1970,16,8,15,yes,1,no,0
495,1066,no,1.6,no,5,0,39,0.6,131,5,17,401,1586,2728,6,0,17,yes,1,Yes,0
496,1554,yes,0.5,Yes,11,0,5,1,124,3,12,395,1579,3635,7,4,18,no,0,no,1
497,1337,no,0.5,No,13,0,31,0.8,186,2,20,48,644,2180,7,4,16,yes,0,yes,0
498,1926,YES,1.7,has,1,1,33,0.4,172,3,2,982,1157,2488,6,1,14,has,0,no,0
499,869,no,1.3,yes,3,0,34,0.1,104,2,4,478,539,3864,13,3,11,yes,0,no,1
500,1278,has,0.5,Has,1,0,54,0.1,104,8,16,581,750,1155,7,1,20,no,0,yes,0
501,1773,yes,2.5,Not,16,1,32,0.6,170,6,18,1215,1472,3566,17,6,13,yes,0,yes,1
502,1661,has,0.8,yes,1,1,6,1,109,7,2,594,1337,864,9,8,2,yes,0,Yes,0
503,1438,no,2.2,no,0,1,32,0.6,176,7,6,683,1663,869,19,13,9,yes,1,yes,0
504,1661,Yes,1.4,no,0,0,29,0.3,119,2,0,536,861,591,9,2,9,yes,1,YES,0
505,1846,yes,0.6,No,1,0,19,0.7,159,1,2,83,773,1333,15,6,11,No,1,Has,0
506,1260,yes,2,Yes,2,1,23,0.2,123,7,10,905,1313,2208,12,11,10,yes,0,yes,0
507,512,yes,0.5,yes,7,0,15,0.9,83,3,15,249,1849,2610,18,14,15,no,1,yes,0
508,581,no,2.2,no,0,0,59,0.7,185,5,6,803,1613,2819,19,17,9,no,0,yes,0
509,1872,yes,2.3,no,6,0,44,0.7,134,3,15,459,1259,1955,9,4,15,has,0,yes,0
510,687,yes,1.3,NO,9,1,50,0.6,151,4,20,584,1151,3416,14,6,8,has,1,no,1
511,1062,yes,2.5,yes,6,0,10,0.9,160,1,13,1596,1807,3803,7,3,16,no,0,yes,1
512,1678,yes,2.3,yes,11,0,7,0.5,192,1,14,418,1763,574,5,3,19,YES,0,Not,0
513,1417,yes,0.5,no,10,1,45,0.9,166,4,19,364,1029,2129,13,9,12,yes,0,has,0
514,1074,no,2.4,Yes,2,1,9,0.9,103,6,14,946,952,1948,13,1,18,Yes,1,Yes,0
515,1832,no,0.7,no,2,0,2,0.6,90,7,6,186,654,2978,18,7,18,No,0,No,0
516,1039,No,1.3,no,0,1,12,0.8,200,8,0,1428,1827,1619,7,1,10,Has,1,yes,0
517,1059,NO,2.4,no,8,0,61,0.1,134,3,18,1613,1916,3716,15,13,11,Yes,1,no,1
518,1606,no,1.4,NO,3,0,57,0.1,154,4,4,1127,1924,3454,13,8,20,No,0,has,1
519,1928,Has,1.8,no,9,1,19,1,187,3,20,691,1580,3777,7,2,13,YES,1,yes,1
520,1875,Yes,0.5,YES,11,1,55,0.7,91,1,17,1802,1942,2712,7,2,6,yes,0,yes,1
521,1128,Yes,1.1,no,9,1,46,0.9,135,8,10,751,1582,1434,5,0,11,yes,0,no,0
